"Blind Copy Recipients","Blindkopie Empfänger"
"Broken","Abgebrochen"
"Code of the store to run import for","Code des Stores für den der Auftrag ausgeführt werden soll"
"Copy Recipients","Kopie Empfänger"
"Could not dismantle task because: %s","Konnte den Auftrag nicht abbauen, weil: %s"
"Could not find run!","Konnte Ausführung nicht finden!"
"Could not prepare task because: %s","Konnte den Auftrag nicht vorbereiten, weil: %s"
"Could not run task because: %s","Konnte den Auftrag nicht ausführen, weil: %s"
"Could not send error summary because: %s","Konnte die Fehlerzusammenfassung nicht versenden, weil: %s"
"Could not send success summary because: %s","Konnte die Erfolgszusammenfassung nicht versenden, weil: %s"
"Could not send summary of type: %s because: %s","Konnte die Zusammenfassung vom Tpe: %s nicht versenden, weil: %s"
"Could not send summary of type: %s because no recipients were configured","Konnte die Zusammenfassung vom Typ: %s nicht versenden, weil keine Empfänger konfiguriert sind."
"Could not send summary of type: %s because no sender was configured","Konnte die Zusammenfassung vom Typ: %s nicht versenden, weil kein Abesender konfiguriert ist."
"Cron Expression","Cron Ausdruck"
"Depends On","Hängt ab von"
"Divided by semicolon","Getrennt durch Semikolon"
"Duration: %d minute(s), %d second(s)","Dauer: %d Minute(n), %d Sekunde(n)"
"Empty Run","Leerlauf"
"Error Summary","Fehlerzusammenfassung"
"Expression","Ausführung"
"Finished","Beendet"
"Finished task: %s","Auftrag ausgeführt: %s"
"General","Allgemein"
"Id of the task","Id des Auftrages"
"In MB","In MB"
"Log Level","Log Level"
"Log on the console","Logging auf die Konsole"
"Log Warning as Error","Logge Warnung als Fehler"
"Logging","Logging"
"Max Memory","Max Speicher"
"Max memory usage: %s MB","Max Speicherbenutzung: %s MB"
"Overwrite Task General Settings","Überschreibe generelle Auftragseinstellungen"
"Please specify a task name!","Bitte geben Sie einen Auftragsnamen an!"
"Process Id","Prozess Id"
"Recipients","Empfänger"
"Running","Läuft"
"Running task: %s","Führe Auftrag aus: %s"
"Runs","Ausführungen"
"Send","Senden"
"Sender","Absender"
"Sending summary of type: %s with subject: %s to recipients: %s","Senden der Zusammenfassung vom Typ: %s mit Titel: %s an Empfängern: %s"
"Sending summary of type: %s with subject: %s to recipients: %s, copy to: %s","Senden der Zusammenfassung vom Typ: %s mit Titel: %s an Empfängern: %s, Kopie an: %s"
"Sending summary of type: %s with subject: %s to recipients: %s, copy to: %s and blind copy to: %s","Senden der Zusammenfassung vom Typ: %s mit Titel: %s an Empfängern: %s, Kopie an: %s und Blindkopie an: %s"
"Settings","Einstellungen"
"Subject","Titel"
"Success","Erfolg"
"Success Summary","Erfolgszusammenfassung"
"Summary: ","Zusammenfassung: "
"Suppress sending summary of type: %s with subject: %s to recipients: %s","Unterdrücke das Senden der Zusammenfassung vom Typ: %s mit Titel: %s an Empfängern: %s"
"Task Id: %s","Auftragsnummer: %s"
"Task is not allowed to run with admin store","Auftrag darf nicht mit dem Admin Store ausgeführt werden."
"Task is running in test mode","Auftrag läuft in Testmodus"
"Task Name: %s","Auftragsname: %s"
"Task names separated by semicolon","Auftragsnamen getrennt durch Semikolon"
"Task runs in test mode","Auftrag wird im Test-Modus ausgeführt"
"Task: ","Auftrag: "
"Tasks","Aufträge"
"The task: %s is still running and block the process of this task: %s.","Der Auftrag: %s wird noch ausgefürt und blockiert die Durchführung des Auftrages: %s"
"Wait for Predecessor","Auf Vorgänger warten"
